,index,url,book_id,title,award_count,author,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,series,genres,awards,place,normalise_mean
13,15,https://www.goodreads.com/book/show/43037.The_Call_of_the_Wild_White_Fang_and_Other_Stories,43037.0,"The Call of the Wild, White Fang and Other Stories",0,Jack London,4.02,21104,21104,400,1906.0,False,"Classics, Fiction, Literature, Short Stories, Adventure, Animals, Literature, American, Young Adult, Childrens, Literature, 20th Century",nan,Alaska,5.345665732443846
14,16,https://www.goodreads.com/book/show/89723.The_Lottery_and_Other_Stories,89723.0,The Lottery and Other Stories,0,Shirley Jackson,4.06,65746,65746,302,1949.0,False,"Short Stories, Fiction, Horror, Classics, Gothic, Literature, Literature, American, Audiobook, Anthologies, Literature, 20th Century",nan,nan,5.462548849326963
15,17,https://www.goodreads.com/book/show/59715.The_Authoritative_Calvin_and_Hobbes,59715.0,The Authoritative Calvin and Hobbes: A Calvin and Hobbes Treasury,0,Bill Watterson,4.71,21650,21650,254,1990.0,False,"Sequential Art, Comics, Humor, Sequential Art, Graphic Novels, Fiction, Graphic Novels Comics, Childrens, Sequential Art, Comic Strips, Humor, Comedy, Comics, Comic Book, Classics",nan,nan,7.361899498677614
16,18,https://www.goodreads.com/book/show/447.Moon_Palace,447.0,Moon Palace,0,Paul Auster,3.95,21667,21667,320,1989.0,False,"Fiction, Literature, American, Contemporary, Novels, Literature, The United States Of America, Classics, Literature, 20th Century, Drama, Roman",nan,nan,5.141120277898394
17,19,https://www.goodreads.com/book/show/16429619-the-kiss-of-deception,16429619.0,The Kiss of Deception,1,Mary E. Pearson,3.98,99075,99075,492,2014.0,True,"Fantasy, Young Adult, Romance, Young Adult, Young Adult Fantasy, Fiction, Fantasy, High Fantasy, Adventure, Fantasy, Magic, Audiobook, Science Fiction, Dystopia",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014),nan,5.228782615560731
18,20,https://www.goodreads.com/book/show/40097951-the-silent-patient,40097951.0,The Silent Patient,1,Alex Michaelides,4.1,649003,649003,325,2019.0,False,"Mystery, Thriller, Fiction, Thriller, Mystery Thriller, Audiobook, Suspense, Mystery, Crime, Adult, Thriller, Psychological Thriller, Contemporary",Goodreads Choice Award for Mystery & Thriller and Nominee for Debut Novel (2019),"London, England, England, United Kingdom",5.57943196621008
19,21,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six,40597810.0,Daisy Jones & The Six,2,Taylor Jenkins Reid,4.2,335384,335384,355,2019.0,False,"Historical, Historical Fiction, Fiction, Audiobook, Contemporary, Adult, Music, Historical, Romance, Adult Fiction, Book Club","Goodreads Choice Award for Historical Fiction (2019), Lovelybooks Leserpreis Nominee for Romane (2020)",nan,5.871639758417874
20,22,https://www.goodreads.com/book/show/140963.O_Pioneers_,140963.0,O Pioneers!,0,Willa Cather,3.87,46639,46639,159,1913.0,True,"Classics, Fiction, Historical, Historical Fiction, Literature, Literature, American, Historical, Novels, Westerns, Literature, 20th Century, Classics, Classic Literature",nan,Nebraska,4.907354044132159
21,23,https://www.goodreads.com/book/show/19581.Ghost_Story,19581.0,Ghost Story,0,Peter Straub,3.95,68986,68986,567,1979.0,False,"Horror, Fiction, Fantasy, Paranormal, Paranormal, Ghosts, Mystery, Thriller, Fantasy, Supernatural, Fantasy, Suspense, Horror, Ghost Stories",nan,nan,5.141120277898394
22,24,https://www.goodreads.com/book/show/32439.Intensity,32439.0,Intensity,0,Dean Koontz,4.04,76428,76428,436,1987.0,False,"Horror, Fiction, Thriller, Suspense, Mystery, Thriller, Mystery Thriller, Mystery, Crime, Adult, Audiobook, Novels",nan,nan,5.404107290885406
23,25,https://www.goodreads.com/book/show/10566.Lisey_s_Story,10566.0,Lisey's Story,3,Stephen King,3.68,69235,69235,513,2006.0,False,"Horror, Fiction, Fantasy, Thriller, Mystery, Fantasy, Supernatural, Romance, Suspense, Audiobook, Fantasy, Paranormal","Bram Stoker Award for Best Novel (2006), Locus Award Nominee for Best Fantasy Novel (2007), World Fantasy Award Nominee for Best Novel (2007)",United States of America,4.352159238937354
24,26,https://www.goodreads.com/book/show/6614960-house-rules,6614960.0,House Rules,1,Jodi Picoult,4.02,152603,152603,532,2010.0,False,"Fiction, Mystery, Contemporary, Adult Fiction, Adult, Womens Fiction, Chick Lit, Drama, Family, Realistic Fiction, Health, Aspergers",Goodreads Choice Award Nominee for Favorite Book and for Fiction (2010),Vermont,5.345665732443846
25,27,https://www.goodreads.com/book/show/8648.Xenocide,8648.0,Xenocide,3,Orson Scott Card,3.8,145812,145812,592,1991.0,True,"Science Fiction, Fiction, Fantasy, Science Fiction Fantasy, Young Adult, Audiobook, Space, Science Fiction, Aliens, Novels, Space, Space Opera","Hugo Award Nominee for Best novel (1992), Locus Award Nominee for Best Science Fiction Novel  (1992), Prix Cosmos 2000 (1994)",Lusitania,4.702808589586704
26,28,https://www.goodreads.com/book/show/509784.The_End_of_Eternity,509784.0,The End of Eternity,1,Isaac Asimov,4.24,46734,46734,192,1955.0,False,"Science Fiction, Fiction, Science Fiction, Time Travel, Classics, Science Fiction Fantasy, Audiobook, Novels, Fantasy, Science Fiction, Dystopia, Speculative Fiction",Hugo Award Nominee for Best Novel (1956),Ukraine,5.988522875300991
27,29,https://www.goodreads.com/book/show/62530.Thud_,62530.0,Thud!,2,Terry Pratchett,4.33,64009,64009,439,2005.0,True,"Fantasy, Fiction, Humor, Humor, Comedy, Science Fiction Fantasy, Audiobook, Mystery, Fantasy, Comic Fantasy, Science Fiction, European Literature, British Literature","Locus Award Nominee for Best Fantasy Novel (2006), Bollinger Everyman Wodehouse Prize Nominee for Comic Fiction (2006)","Discworld, Ankh-Morpork",6.251509888288004
28,30,https://www.goodreads.com/book/show/41453422-drum-beats-heart-beats,41453422.0,"Drum Beats, Heart Beats",0,Maria Nhambu,4.29,4148,4148,500,2018.0,False,"Contemporary, Fiction, Epic, Novels, Drama",nan,nan,6.1346267714048865
29,31,https://www.goodreads.com/book/show/228630.Black_Boy,228630.0,Black Boy,0,Richard Wright,4.07,48803,48803,419,1945.0,False,"Classics, Nonfiction, Autobiography, Memoir, Biography, Cultural, African American, Race, Biography, Autobiography, History, Academic, School, Literature",nan,nan,5.491769628547744
30,32,https://www.goodreads.com/book/show/13326831-the-testing,13326831.0,The Testing,4,Joelle Charbonneau,4.03,63770,63770,325,2013.0,True,"Science Fiction, Dystopia, Young Adult, Science Fiction, Fiction, Romance, Fantasy, Apocalyptic, Post Apocalyptic, Adventure, Young Adult, Teen, Adventure, Survival","Anthony Award for Best Children's or Young Adult Novel (2014), Agatha Award Nominee for Best Children's/Young Adult Novel (2013), Lincoln Award Nominee (2015), Missouri Truman Readers Award Nominee (2016)","Tosu City, United Commonwealth",5.374886511664628
31,33,https://www.goodreads.com/book/show/35440465-love-on-the-line,35440465.0,Love on the Line,0,Kirsten Fullmer,4.27,7251,7251,362,2017.0,True,"Fiction, Contemporary, Novels, Young Adult, Romance, New Adult, Romance, Love Story, Adult, Romance, Contemporary Romance, Womens Fiction, Chick Lit",nan,West Virginia,6.076185212963328
32,34,https://www.goodreads.com/book/show/6447501-explosion-in-paris,6447501.0,Explosion in Paris,0,Linda Masemore Pirrung,3.5,3046,3046,408,2009.0,False,"Romance, Womens Fiction, Chick Lit, Contemporary, Adult, Mystery, Fiction",nan,nan,3.8261852129633276
33,35,https://www.goodreads.com/book/show/11367726-defending-jacob,11367726.0,Defending Jacob,4,William Landay,3.99,273743,273743,421,2012.0,False,"Fiction, Mystery, Thriller, Mystery, Crime, Suspense, Thriller, Mystery Thriller, Audiobook, Book Club, Drama, Adult","Barry Award Nominee for Best Novel (2013), Hammett Prize Nominee (2012), Strand Critics Award  for Best Novel (2012), Goodreads Choice Award Nominee for Mystery & Thriller and for Goodreads Author (2012)","Massachusetts, Newton, Massachussets",5.258003394781511
34,36,https://www.goodreads.com/book/show/6050678-leviathan,6050678.0,Leviathan,17,Scott Westerfeld,3.9,89267,89267,440,2009.0,True,"Science Fiction, Steampunk, Young Adult, Fantasy, Science Fiction, Historical, Historical Fiction, Fiction, Science Fiction, Alternate History, Adventure, Historical, Young Adult, Teen","Locus Award for Best Young Adult Book (2010), Kurd-Laßwitz-Preis Nominee for Bestes ausländisches Werk (2011), Golden Duck Award Nominee for Young Adult (Hal Clement Award) (2011), Ditmar Award Nominee for Best Novel (2010), Grand Prix de l'Imaginaire Nominee for Roman jeunesse étranger (2011), Queensland Premier's Literary Awards Nominee for Young Adult Book Award (2010), Pennsylvania Young Readers' Choice Award Nominee (2011), Rhode Island Teen Book Award Nominee (2011), Aurealis Award for Young Adult Novel (2009), The Inky Awards Nominee for Silver Inky (2010), Lincoln Award Nominee (2013), Andre Norton Award Nominee (2009), Goodreads Choice Award for Science Fiction (2009), Carnegie Medal Nominee (2011), The Inky Awards Shortlist for Silver Inky (2010), Prix Elbakin.net for Meilleur roman fantasy traduit Jeunesse (2011), Rebecca Caudill Young Readers' Book Award Nominee (2012)","Austria, London, England",4.995016381794497
35,37,https://www.goodreads.com/book/show/16130549-doctor-sleep,16130549.0,Doctor Sleep,6,Stephen King,4.11,211165,211165,531,2013.0,True,"Horror, Fiction, Thriller, Fantasy, Fantasy, Paranormal, Audiobook, Fantasy, Supernatural, Mystery, Suspense, Adult","Bram Stoker Award for Best Novel (2013), Locus Award Nominee for Best Fantasy Novel (2014), ITW Thriller Award Nominee for Best Hardcover Novel (2014), Audie Award for Fiction (2014), Goodreads Choice Award for Horror (2013), This is Horror Award for Novel (2013)","Frazier, New Hampshire, Colorado",5.608652745430862
36,38,https://www.goodreads.com/book/show/80176.Winesburg_Ohio,80176.0,"Winesburg, Ohio",1,Sherwood Anderson,3.84,30822,30822,240,1919.0,False,"Fiction, Classics, Short Stories, Literature, Literature, American, Literary Fiction, Literature, 20th Century, Novels, American, Americana, Academic, School",Premi Llibreter de narrativa (2009),Ohio,4.819691706469821
37,39,https://www.goodreads.com/book/show/18501652-the-guardian-of-secrets-and-her-deathly-pact,18501652.0,The Guardian of Secrets and Her Deathly Pact,0,Jana Petken,4.19,1328,1328,714,2013.0,False,"Historical, Historical Fiction, War, Adventure, Drama, Epic, Fiction, Historical, Romance, Cultural, Spain, Business, Amazon",nan,nan,5.842418979197096
38,40,https://www.goodreads.com/book/show/8662836-chain-reaction,8662836.0,Chain Reaction,1,Simone Elkeles,4.1,60461,60461,319,2011.0,True,"Romance, Young Adult, Contemporary, Realistic Fiction, Young Adult, High School, Romance, Contemporary Romance, Womens Fiction, Chick Lit, New Adult, Young Adult, Young Adult Romance, Fiction",Goodreads Choice Award Nominee for Young Adult Fiction (2011),nan,5.57943196621008
39,41,https://www.goodreads.com/book/show/3934321-nightfall,3934321.0,Nightfall,0,L.J. Smith,3.57,48234,48234,586,2009.0,True,"Paranormal, Vampires, Young Adult, Fantasy, Fantasy, Paranormal, Romance, Fantasy, Supernatural, Romance, Paranormal Romance, Fiction, Fantasy, Urban Fantasy, Fantasy, Magic",nan,nan,4.030730667508783
40,42,https://www.goodreads.com/book/show/99298.The_Harry_Potter_Collection_1_4,99298.0,The Harry Potter Collection 1-4,1,J.K. Rowling,4.68,57890,57890,1500,1999.0,True,"Fantasy, Fiction, Young Adult, Fantasy, Magic, Adventure, Childrens, Classics, Novels, Science Fiction Fantasy, Fantasy, Urban Fantasy",Puddly Award for Fiction (2002),nan,7.274237161015276
41,43,https://www.goodreads.com/book/show/26216087-the-egyptian,26216087.0,The Egyptian,0,Mika Waltari,4.15,19735,19735,514,1945.0,True,"Historical, Historical Fiction, Fiction, Classics, Historical, Northern Africa, Egypt, European Literature, Finnish Literature, Novels, Adventure, Literature, Cultural, Africa",nan,"Thebes, Egypt, Smyrna, Jerusalem, Mitanni, Babylon, Hattusa, Crete, Mediterranean Sea, Amurru, Akhetaten, Memphis, Gaza",5.725535862313979
42,44,https://www.goodreads.com/book/show/310146.The_True_Confessions_of_Charlotte_Doyle,310146.0,The True Confessions of Charlotte Doyle,6,Avi,3.83,80980,80980,278,1990.0,False,"Historical, Historical Fiction, Young Adult, Fiction, Adventure, Historical, Childrens, Childrens, Middle Grade, Classics, Academic, School, Academic, Read For School","Newbery Medal Nominee (1991), Massachusetts Children's Book Award (1996), Dorothy Canfield Fisher Children's Book Award Nominee (1992), Evergreen Teen Book Award (1993), Sunshine State Young Readers Award (1993), Judy Lopez Memorial Award for Children's Literature (1991)","Rhode Island, Liverpool, England, Atlantic Ocean",4.790470927249043
43,45,https://www.goodreads.com/book/show/9917938-blood-red-road,9917938.0,Blood Red Road,10,Moira Young,3.9,61369,61369,459,2011.0,True,"Young Adult, Science Fiction, Dystopia, Fantasy, Romance, Science Fiction, Apocalyptic, Post Apocalyptic, Adventure, Fiction, Young Adult, Teen, Action","Locus Award Nominee for Best First Novel (2012), Sunburst Award Nominee for Young Adult (2012), Costa Book Award for Children's Book (2011), Teen Buckeye Book Award Nominee (2012), Milwaukee County Teen Book Award Nominee (2012), Amelia Elizabeth Walden Award Nominee (2012), CYBILS Award for Fantasy & Science Fiction (Young Adult) (2011), Carnegie Medal Nominee (2012), Sheila A. Egoff Children’s Literature Prize (2012), FAB Award (2013)",nan,4.995016381794497
44,46,https://www.goodreads.com/book/show/43369.God_Is_Not_Great,43369.0,God Is Not Great: How Religion Poisons Everything,1,Christopher Hitchens,3.95,94917,94917,307,2007.0,False,"Nonfiction, Religion, Philosophy, Religion, Atheism, Science, Politics, History, Audiobook, Religion, Theology, Sociology",National Book Award Finalist for Nonfiction (2007),nan,5.141120277898394
45,47,https://www.goodreads.com/book/show/77661.The_Daughter_of_Time,77661.0,The Daughter of Time,1,Josephine Tey,3.93,25101,25101,206,1951.0,True,"Mystery, Historical, Historical Fiction, Fiction, Historical, Mystery, Crime, Classics, Thriller, Mystery Thriller, European Literature, British Literature, Mystery, Historical Mystery, Mystery, Detective",Grand Prix de Littérature Policière for Romans étrangers (tie) (1969),England,5.082678719456835
46,48,https://www.goodreads.com/book/show/59263.The_Golem_s_Eye,59263.0,The Golem's Eye,1,Jonathan Stroud,4.08,89943,89943,562,2004.0,True,"Fantasy, Young Adult, Fiction, Fantasy, Magic, Childrens, Adventure, Childrens, Middle Grade, Fantasy, Urban Fantasy, Young Adult, Young Adult Fantasy, Audiobook",Mythopoeic Fantasy Award for Children's Literature (2006),United Kingdom,5.520990407768523
