url,book_id,title,author,good_read_score,good_read_votes,avg_rating,num_reviews,num_ratings,num_pages,original_publish_year,book_series,genres,awards,award_count,place
https://www.goodreads.com/book/show/256683.City_of_Bones,256683,City of Bones,Cassandra Clare,739457,7782,4.09,64186,1693730,485,2007,TRUE,"Young Adult, Fantasy, Paranormal, Romance, Fantasy, Urban Fantasy, Fiction, Paranormal, Vampires, Fantasy, Supernatural, Paranormal, Angels, Fantasy, Magic, Young Adult, Young Adult Fantasy","Locus Award Nominee for Best First Novel (2008), Georgia Peach Book Award Nominee for Honor book (2009), South Carolina Book Award Nominee for Young Adult Book Award (2010), Pacific Northwest Library Association Young Reader's Choice Award (2010), Lincoln Award (2010)",5,"New York City, New York"
https://www.goodreads.com/book/show/4667024-the-help,4667024,The Help,Kathryn Stockett,731135,7826,4.46,85540,2266655,464,2009,FALSE,"Fiction, Historical, Historical Fiction, Historical, Adult, Adult Fiction, Contemporary, Classics, Audiobook, Book Club, Womens Fiction, Chick Lit","Orange Prize Nominee for Fiction Longlist (2010), Audie Award for Fiction (2010), Exclusive Books Boeke Prize (2009), SIBA Book Award for Fiction (2010), Indies Choice Book Award for Adult Debut (2010), Puddly Award for Fiction (2011), Lincoln Award Nominee (2013), Grand Prix des lectrices de Elle for roman (2011), Goodreads Choice Award for Fiction (2009) and Nominee for Best of the Best  (2018), Townsend Prize for Fiction (2010)",10,"Jackson, Mississippi, Jackson, Mississippi, Mississippi"
https://www.goodreads.com/book/show/157993.The_Little_Prince,157993,The Little Prince,Antoine de Saint-Exupéry,729920,7794,4.31,43236,1482629,93,1943,FALSE,"Classics, Fiction, Fantasy, Childrens, Cultural, France, Young Adult, Philosophy, Literature, Childrens, Middle Grade, European Literature, French Literature",Retro Hugo Award for Best Novella (2019),1,
https://www.goodreads.com/book/show/375802.Ender_s_Game,375802,Ender's Game,Orson Scott Card,727956,7591,4.3,44105,1178549,324,1985,TRUE,"Science Fiction, Fiction, Young Adult, Fantasy, Classics, Science Fiction Fantasy, Science Fiction, Dystopia, War, Audiobook, Adventure","Hugo Award for Best Novel (1986), Nebula Award for Best Novel (1985), Premi Ictineu for Millor novel·la traduïda (2014), Nébula (1985), Margaret A. Edwards Award (2008)",5,
https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,8127,Anne of Green Gables,L.M. Montgomery,717266,7568,4.26,25062,773630,320,1908,TRUE,"Classics, Fiction, Young Adult, Childrens, Historical, Historical Fiction, Childrens, Middle Grade, Historical, Audiobook, Cultural, Canada, Young Adult, Coming Of Age",,0,"Avonlea, Prince Edward Island, Prince Edward Island"
https://www.goodreads.com/book/show/24178.Charlotte_s_Web,24178,Charlotte's Web,E.B. White,693367,7489,4.17,19006,1492413,184,1952,FALSE,"Classics, Childrens, Fiction, Young Adult, Fantasy, Animals, Childrens, Middle Grade, Childrens, Juvenile, Academic, School, Childrens, Chapter Books","Newbery Medal Nominee (1953), George C. Stone Center for Children's Books Recognition of Merit Award (1970), Audie Award Nominee for Audiobook of the Year and Middle Grade (2020), Massachusetts Children's Book Award (1984), Laura Ingalls Wilder Award (1970)",5,United States of America
https://www.goodreads.com/book/show/890.Of_Mice_and_Men,890,Of Mice and Men,John Steinbeck,682413,7371,3.88,36332,2029224,103,1937,FALSE,"Classics, Fiction, Academic, School, Historical, Historical Fiction, Literature, Academic, Read For School, Novels, Young Adult, High School, Literature, American, Classics, Classic Literature",New York Drama Critics' Circle Award for Best American Play (1938),1,"Salinas Valley, California, California"
https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,18619684,The Time Traveler's Wife,Audrey Niffenegger,669384,7001,3.98,47987,1620079,500,2003,FALSE,"Fiction, Romance, Fantasy, Science Fiction, Time Travel, Science Fiction, Contemporary, Adult, Womens Fiction, Chick Lit, Adult Fiction, Magical Realism","Arthur C. Clarke Award Nominee (2005), Orange Prize Nominee for Fiction Longlist (2004), British Book Award (2006), John W. Campbell Memorial Award Nominee for Best Science Fiction Novel (2005), Exclusive Books Boeke Prize (2005), ALA Alex Award (2004)",6,"Chicago, Illinois, Illinois"
https://www.goodreads.com/book/show/17245.Dracula,17245,Dracula,Bram Stoker,658595,7112,4,28308,990393,488,1897,FALSE,"Classics, Horror, Fiction, Fantasy, Paranormal, Vampires, Gothic, Fantasy, Paranormal, Literature, Audiobook, Literature, 19th Century",,0,"Transylvania, Budapest, Whitby, Yorkshire, England, London, England"
https://www.goodreads.com/book/show/5129.Brave_New_World,5129,Brave New World,Aldous Huxley,649600,6976,3.99,32987,1509997,268,1932,FALSE,"Classics, Fiction, Science Fiction, Science Fiction, Dystopia, Literature, Novels, Academic, School, Fantasy, Philosophy, Science Fiction Fantasy",,0,"New Mexico, London, England"
